file,field,real_answer
pdf11.pdf,question_6,Y
pdf11.pdf,question_7,Not applicable
pdf11.pdf,question_8,Y
pdf11.pdf,question_9,N
pdf11.pdf,question_10,Y
pdf11.pdf,question_11,N
pdf11.pdf,question_12,N
pdf12.pdf,question_1,Y
pdf12.pdf,question_2,N
pdf12.pdf,question_3,N
pdf12.pdf,question_4,Y
pdf12.pdf,question_5,N
pdf12.pdf,question_6,Y
pdf12.pdf,question_7,Not applicable
pdf12.pdf,question_8,Y
pdf12.pdf,question_9,N
pdf12.pdf,question_10,Y
pdf12.pdf,question_11,N
pdf12.pdf,question_12,N
pdf13.pdf,question_1,Y
pdf13.pdf,question_2,N
pdf13.pdf,question_3,N
pdf14.pdf,question_1,Y
pdf14.pdf,question_2,N
pdf14.pdf,question_3,N
pdf14.pdf,question_4,Y
pdf14.pdf,question_5,N
pdf14.pdf,question_6,Y
pdf14.pdf,question_7,Not applicable
pdf14.pdf,question_8,Y
pdf14.pdf,question_9,N
pdf14.pdf,question_10,Y
pdf14.pdf,question_11,N
pdf14.pdf,question_12,N
pdf15.pdf,question_1,N
pdf15.pdf,question_2,Y
pdf15.pdf,question_3,N
pdf15.pdf,question_4,Y
pdf15.pdf,question_5,N
pdf15.pdf,question_6,Y
pdf16.pdf,question_1,Y
pdf16.pdf,question_2,N
pdf16.pdf,question_3,N
pdf16.pdf,question_4,Y
pdf16.pdf,question_5,N
pdf16.pdf,question_6,Y
pdf16.pdf,question_7,Not applicable
pdf16.pdf,question_8,Y
pdf16.pdf,question_9,N
pdf16.pdf,question_10,Y
pdf16.pdf,question_11,N
pdf16.pdf,question_12,N
pdf17.pdf,question_1,Not applicable
pdf17.pdf,question_2,Not applicable
pdf17.pdf,question_3,Not applicable
pdf17.pdf,question_4,Not applicable
pdf17.pdf,question_5,N
pdf17.pdf,question_6,N
pdf18.pdf,question_1,Y
pdf18.pdf,question_2,N
pdf18.pdf,question_3,N
pdf18.pdf,question_4,Y
pdf18.pdf,question_5,N
pdf18.pdf,question_6,Y
pdf18.pdf,question_7,Not applicable
pdf18.pdf,question_8,Y
pdf18.pdf,question_9,N
pdf18.pdf,question_10,Y
pdf18.pdf,question_11,N
pdf18.pdf,question_12,N
pdf19.pdf,question_1,Y
pdf19.pdf,question_2,Y
pdf19.pdf,question_3,Not applicable
pdf19.pdf,question_4,N
pdf19.pdf,question_5,Not applicable
pdf19.pdf,question_6,N
pdf19.pdf,question_7,Y
pdf20.pdf,question_1,Y
pdf20.pdf,question_2,N
pdf20.pdf,question_3,N
pdf20.pdf,question_4,Y
pdf20.pdf,question_5,N
pdf20.pdf,question_6,Y
pdf20.pdf,question_7,Not applicable
pdf20.pdf,question_8,Y
pdf20.pdf,question_9,N
pdf20.pdf,question_10,Y
pdf20.pdf,question_11,N
pdf20.pdf,question_12,N
pdf21.pdf,question_1,Y
pdf21.pdf,question_2,N
pdf21.pdf,question_3,N
pdf21.pdf,question_4,Y
pdf21.pdf,question_5,N
pdf21.pdf,question_6,Y
pdf21.pdf,question_7,Not applicable
pdf21.pdf,question_8,Y
pdf21.pdf,question_9,N
pdf21.pdf,question_10,Y
pdf21.pdf,question_11,N
pdf21.pdf,question_12,N
pdf22.pdf,question_1,Y
pdf22.pdf,question_2,N
pdf22.pdf,question_3,N
pdf22.pdf,question_4,Y
pdf22.pdf,question_5,N
pdf22.pdf,question_6,Y
pdf22.pdf,question_7,Not applicable
pdf22.pdf,question_8,Y
pdf22.pdf,question_9,N
pdf22.pdf,question_10,Y
pdf22.pdf,question_11,N
pdf22.pdf,question_12,N
pdf23.pdf,question_1,Y
pdf23.pdf,question_2,N
pdf23.pdf,question_3,N
pdf23.pdf,question_4,Y
pdf23.pdf,question_5,N
pdf23.pdf,question_6,Y
pdf23.pdf,question_7,Not applicable
pdf23.pdf,question_8,Y
pdf23.pdf,question_9,N
pdf23.pdf,question_10,Y
pdf23.pdf,question_11,N
pdf23.pdf,question_12,N
pdf24.pdf,question_1,Y
pdf24.pdf,question_2,N
pdf24.pdf,question_3,N
pdf24.pdf,question_4,Y
pdf24.pdf,question_5,N
pdf24.pdf,question_6,Y
pdf24.pdf,question_7,Not applicable
pdf24.pdf,question_8,Y
pdf24.pdf,question_9,N
pdf24.pdf,question_10,Y
pdf24.pdf,question_11,N
pdf24.pdf,question_12,N
